MLB Team,Stadium Name,Seating Capacity,"City, State",State Abbreviation,Venue Score,Area Score,Total Inspections,Critical Inspections Found,Critical Score in percentage,Violations
Cardinals,Busch Stadium,43975,"St. Louis, Missouri",MO,0.17,0.39,62,14,22.58,"[{'image': 'temperature', 'date': 'Improper food temperature', 'copy': 'Inspectors found taco meat being heated in a hot holding unit instead of on a stove to bring it to proper cooking temperatures on April 20, 2017.'}, {'image': 'equipment', 'date': 'Dishwashing issue', 'copy': 'An employee washed woks in a single-vat sink instead of a three-vat sink that allows for washing, sanitizing and rinsing, on April 21, 2016.'}, {'image': 'equipment', 'date': 'Dishwashing issue', 'copy': 'Inspectors at one location on April 19, 2017, found that the dish machine did not reach proper temperature for sanitizing, and cited the same location with the same violation in an inspection on Sept. 14, 2017.'}]"
Royals,Kauffman Stadium,37903,"Kansas City, Missouri",MO,0.56,1.36,106,44,41.51,"[{'image': 'condition', 'date': 'Improper reheating', 'copy': 'Pork and beef were improperly reheated, and raw ground beef was stored next to chili and hot dogs in the cooler, presenting the potential for contamination, during an April 3, 2016, inspection.'}, {'image': 'employee', 'date': 'Bare hands used', 'copy': 'A bartender used bare hands to handle a lime at Crafts & Drafts on April 10, 2017, one of five critical violations.'}, {'image': 'pests', 'date': 'Bug carcasses', 'copy': 'Bug carcasses were found beneath a sink at a concession on Aug. 7, 2017.'}]"
Mets,Citi Field,41922,"Queens, New York",NY,0.35,1.47,58,32,55.17,"[{'image': 'temperature', 'date': 'Food too cold', 'copy': 'Hot food items were not held at 140 degrees or above, as required, during four inspections over various dates.'}, {'image': 'temperature', 'date': 'Food too warm', 'copy': 'At nine locations over various dates, cold food was held above 41 degrees, which is too warm per regulations.'}, {'image': 'equipment', 'date': 'Improper utensil storage', 'copy': 'At about 10 locations over various dates, inspectors found &#34;sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.&#34;'}]"
Yankees,Yankee Stadium,56886,"Bronx, New York",NY,0.67,1.47,43,34,79.07,"[{'image': 'condition', 'date': 'Food handling issues', 'copy': 'At six locations over various dates, inspectors found &#34;raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded&#34; in accordance with proper procedures.'}, {'image': 'employee', 'date': 'Bad hygiene', 'copy': 'At one concession stand, inspectors found &#34;personal cleanliness inadequate, &#34; noting an employee&#39;s outer garment was soiled with a possible contaminant, and an effective hair restraint was not worn in an area where food is prepared during an inspection July 21, 2016.'}, {'image': 'pests', 'date': 'Flies', 'copy': 'Inspectors found hot food at improper temperatures (below 140 degrees) and &#34;filth, flies or food/refuse/sewage-associated flies&#34; in food and/or non-food areas at a Legends level location on July 25, 2017.'}]"
Indians,Progressive Field,35041,"Cleveland, Ohio",OH,0.04,0,133,12,9.02,"[{'image': 'temperature', 'date': 'Food too cold', 'copy': 'Bratwursts and hot dogs were not hot enough at a concession stand on June 27, 2017.'}, {'image': 'equipment', 'date': 'Fryer broken', 'copy': 'On Sept. 18, 2016, inspectors instructed workers at one stand to repair the fryer so it reached proper cooking temperatures.'}, {'image': 'equipment', 'date': 'Buildup of dirt', 'copy': 'There were holes in the wall and a buildup of dirt and debris in a vent in the beverage room of the main kitchen on June 14, 2017.'}]"
Reds,Great American Ball Park,42036,"Cincinnati, Ohio",OH,0.2,0,52,26,50.0,"[{'image': 'condition', 'date': 'Old food', 'copy': 'Inspectors found old food from a previous game in a disconnected warmer on July 25, 2017.'}, {'image': 'employee', 'date': 'Ice scoop issue', 'copy': 'Inspectors found that an employee had stored an ice scoop inside the ice, instead of separately, creating the potential for contamination if hands touch the ice-scoop handle and it touches the ice. This citation occurred on Aug. 9, 2016; inspectors cited this violation repeatedly at various locations at the park.'}, {'image': 'equipment', 'date': 'Sanitizing issue', 'copy': 'At one location on June 9, 2017, inspectors discovered that the dishwashing machine was reaching only 120 degrees, when it needed to reach 180 degrees. As a result, it was not sanitizing dishes. Inspectors instructed staff to switch to chemical sanitizing in the meantime.'}]"
Blue Jays,Rogers Centre,49282,"Toronto, Ontario",ON,0.21,0.44,63,31,49.21,"[{'image': 'equipment', 'date': 'Unclean surfaces', 'copy': 'Inspectors found two high-priority and three minor violations at a concession stand on June 1, 2017, including equipment and surfaces that were not properly cleaned.'}, {'image': 'equipment', 'date': 'Equipment not available', 'copy': 'At least 13 locations were cited over various dates for not having proper thermometers available to test food temperatures.'}, {'image': 'employee', 'date': 'Hand contact', 'copy': 'On June 15, 2016, inspectors noted that at a sandwich outlet, &#34;operator fail[ed] to use proper procedure(s) to ensure food safety.&#34;'}]"
Pirates,PNC Park,38496,"Pittsburgh, Pennsylvania",PA,0.2,0.98,65,18,27.69,"[{'image': 'temperature', 'date': 'Food too cold/hot', 'copy': 'Sausage, pasta and chicken in the press dining area were held at temperatures of 110 degrees or below when they should have been 135 degrees or hotter on May 18, 2017. Meanwhile, cheese and tomatoes in a cooler were at 43 degrees or higher, with the cooler temperature measuring 47 degrees. Cold foods are supposed to be held at 41 degrees or below.'}, {'image': 'temperature', 'date': 'Food too cold/hot', 'copy': 'Also on May 18, 2017, inspectors found noodles at 45 to 47 degrees in a cooler and pasta at 122 to 129 degrees in the Lexus Club. Cold foods are supposed to be 41 degrees or less, while hot foods should be 135 degrees or higher.'}, {'image': 'temperature', 'date': 'Food tossed', 'copy': 'Fish, cheese and beef were held at 46 degrees in a grill drawer at the Pirates Players Lounge on May 4, 2016. The food was thrown out, and inspectors ordered that the grill drawer not be used until it was repaired.'}]"
Phillies,Citizens Bank Park,43651,"Philadelphia, Pennsylvania",PA,0.35,0,101,43,42.57,"[{'image': 'condition', 'date': 'Food prep on trash', 'copy': 'Inspectors witnessed food being prepared on top of a trash receptacle on April 11, 2017. The food was discarded.'}, {'image': 'employee', 'date': 'Food co-mingling', 'copy': 'Employee food, beverages and belongings mingled with food items a concession stand on April 2, 2016, presenting the potential for contamination.'}, {'image': 'equipment', 'date': 'Slime in ice machine', 'copy': 'At another concession stand on April 2, 2016, there was &#34;pink slime&#34; in the ice maker and hair in an ice bin, as well as mouse droppings on the floor of a cooler where pizzas were stored.'}]"
Astros,Minute Maid Park,40963,"Houston, Texas",TX,0.19,1.28,70,20,28.57,"[{'image': 'equipment', 'date': 'Slime in ice bins', 'copy': 'Inspectors reported they &#34;found black slime in two ice bins under the soda fountain&#34; at two different vendors on Aug. 17, 2016. They told the vendors to discard the ice.'}, {'image': 'pests', 'date': 'Roach stuck in tape', 'copy': 'Inspectors noted a roach stuck in tape used to mount a photo at a stand on Aug. 18, 2016.'}, {'image': 'employee', 'date': 'Uncovered hair', 'copy': 'On Aug. 17, 2016, inspectors &#34;observed employees with facial hair (not well groomed and trimmed) handling foods in different food establishments without wearing facial hair restraint(s) &#34; as required.&#34;'}]"
Rangers,Globe Life Park in Arlington,48114,"Arlington, Texas",TX,1.22,0,156,111,71.15,"[{'image': 'pests', 'date': 'Live roach', 'copy': 'Inspectors asked a vendor to &#34;please contact pest control&#34; after seeing a live roach at a stand on May 18, 2017.'}, {'image': 'pests', 'date': 'Bird poop', 'copy': '&#34;Clean bird poop up,&#34; read an inspection report for one vendor from Sept. 2, 2017.'}, {'image': 'equipment', 'date': 'Unclean drain lines', 'copy': 'Inspectors instructed a vendor to clean drain lines on May 18, 2017, citing a &#34;horrible odor.&#34;'}]"
Mariners,Safeco Field,47943,"Seattle, Washington",WA,0.1,0.66,92,20,21.74,"[{'image': 'equipment', 'date': 'Handwashing issues', 'copy': 'During seven inspections at various dates and locations, inspectors found violations related to inadequate handwashing facilities.'}, {'image': 'condition', 'date': 'Raw meat storage', 'copy': 'In an Aug. 22, 2016, inspection of a kitchen, inspectors found raw meat stored over ready-to-eat food, posing a contamination threat.'}, {'image': 'temperature', 'date': 'Improper food temperatures', 'copy': 'At nine inspections at various dates and locations, inspectors found violations related to proper cold holding temperatures for food.'}]"
Brewers,Miller Park,41900,"Milwaukee, Wisconsin",WI,0.1,0.42,115,10,8.7,"[{'image': 'condition', 'date': 'Out-of-date food', 'copy': 'Inspectors found a pan of baked beans in a cooler dated April 18 on April 26, 2017, beyond the date when the beans should have been kept.'}, {'image': 'temperature', 'date': 'Food too cold/hot', 'copy': 'Hot dogs were not hot enough and cold cheese was not cold enough during an inspection on April 27, 2017.'}, {'image': 'condition', 'date': 'Food contamination', 'copy': 'At one location on May 24, 2016, an inspector saw an open bag of hot dogs sitting on a cardboard box and leaning against a garbage can by the grill area. The inspector discarded the bag of hot dogs and spoke with the grill food handler about the risk of cross contamination.'}]"
